commit_id,files_changed,lines_added,lines_deleted,test_count,previous_runtime_sec,previous_failure,build_time_sec,test_time_sec,cpu_usage_pct,memory_usage_mb,result,timestamp
c_8994975,3,45,30,24,0.356,0,0.021,1.094,28.17,117.15,1,1789074542.4288757
c_72ebf4b,3,34,19,12,1.115,1,0.019,0.6,20.27,121.39,1,1789074722.4288757
c_d8426b7,3,61,6,24,0.619,1,0.024,1.114,28.75,120.33,1,1789074902.4288757
c_0bf2083,2,14,13,6,1.137,1,0.017,0.408,45.29,120.73,0,1789075082.4288757
c_3c82dfc,3,16,29,6,0.425,0,0.024,0.338,69.08,102.84,0,1789075262.4288757
c_dbd7b1c,1,11,17,6,0.362,0,0.017,0.369,41.2,113.43,0,1789075442.4288757
c_2831f3e,3,173,38,18,0.386,0,0.042,0.858,33.8,110.05,1,1789075622.4288757
c_f88e710,3,62,11,6,0.901,1,0.023,0.342,22.94,113.81,1,1789075802.4288757
c_107c1bb,4,123,15,12,0.365,1,0.032,0.603,29.85,117.02,0,1789075982.4288757
c_bf80520,6,112,38,24,0.634,0,0.032,1.11,27.52,112.47,0,1789076162.4288757
c_1a6a7e0,2,59,4,6,1.142,0,0.023,0.351,31.87,102.42,0,1789076342.4288757
c_80efb4c,2,40,13,6,0.373,0,0.02,0.357,28.84,113.43,0,1789076522.4288757
c_a943b8e,1,32,15,6,0.377,0,0.026,0.413,54.97,105.37,0,1789076702.4288757
c_b464110,3,70,16,6,0.439,0,0.026,0.35,41.7,105.65,1,1789076882.4288757
c_d52f075,1,37,6,6,0.375,1,0.021,0.351,45.68,118.25,1,1789077062.4288757
c_0fe2203,1,71,22,24,0.373,1,0.028,1.104,28.84,117.99,1,1789077242.4288757
c_1bce7f0,1,39,21,6,1.132,1,0.022,0.361,17.42,118.09,0,1789077422.4288757
c_bb722a5,1,57,5,24,0.383,0,0.025,1.103,26.07,103.16,0,1789077602.4288757
c_b875a7d,3,112,18,12,1.128,0,0.033,0.592,9.52,110.64,1,1789077782.4288757
c_1448317,3,108,51,12,0.625,1,0.032,0.615,33.66,102.69,0,1789077962.4288757
c_640c1b3,1,85,59,12,0.647,0,0.028,0.651,39.9,119.49,1,1789078142.4288757
c_f3802dd,2,28,3,6,0.679,1,0.02,0.364,33.3,120.56,0,1789078322.4288757
c_741e7e7,1,68,2,24,0.385,0,0.026,1.098,35.54,115.7,0,1789078502.4288757
c_beeb4d1,2,19,9,6,1.125,0,0.019,0.363,22.9,117.72,0,1789078682.4288757
c_b83b0b6,1,54,16,6,0.382,0,0.025,0.359,47.17,119.56,0,1789078862.4288757
c_b461d10,3,114,36,24,0.384,0,0.033,1.116,29.3,120.96,0,1789079042.4288757
c_5d0a39b,8,249,7,24,1.149,0,0.052,1.106,31.55,109.24,1,1789079222.4288757
c_b667869,1,71,0,6,1.158,1,0.028,0.355,43.15,121.53,0,1789079402.4288757
c_586ae67,1,140,20,24,0.383,0,0.038,1.117,22.0,113.28,0,1789079582.4288757
c_7538ed7,5,115,6,24,1.155,0,0.031,1.104,27.14,114.85,0,1789079762.4288757
c_e836225,5,104,30,24,1.136,0,0.031,1.105,26.1,110.32,0,1789079942.4288757
c_9b5c517,1,73,17,6,1.136,0,0.025,0.356,29.27,117.1,0,1789080122.4288757
c_7aa8e1e,1,53,20,24,0.381,0,0.026,1.105,23.87,119.08,0,1789080302.4288757
c_e2f2a04,3,73,8,24,1.13,0,0.027,1.106,15.81,121.94,0,1789080482.4288757
c_9b8678e,2,37,5,24,1.134,0,0.02,1.101,19.09,107.65,0,1789080662.4288757
c_61ba49f,3,16,22,24,1.12,0,0.017,1.102,23.29,107.81,0,1789080842.4288757
c_d3ba954,7,80,56,24,1.119,0,0.026,1.113,30.37,115.98,1,1789081022.4288757
c_073805f,2,8,14,6,1.139,1,0.015,0.337,34.92,105.41,0,1789081202.4288757
c_60662ef,3,72,18,24,0.352,0,0.026,1.09,19.61,109.5,0,1789081382.4288757
c_cc02ee9,4,19,57,24,1.116,0,0.017,1.1,15.08,113.98,1,1789081562.4288757
c_164191c,1,66,40,24,1.117,1,0.026,1.108,26.25,109.73,0,1789081742.4288757
c_5853145,1,92,37,12,1.133,0,0.027,0.603,26.21,121.18,0,1789081922.4288757
c_b67deaf,3,6,29,24,0.63,0,0.015,1.108,26.62,107.87,0,1789082102.4288757
c_303513f,3,74,0,6,1.123,0,0.026,0.36,38.04,101.97,0,1789082282.4288757
c_c56540f,4,53,12,24,0.386,0,0.022,1.097,21.19,116.05,0,1789082462.4288757
c_ffddb7f,3,25,19,6,1.119,0,0.018,0.342,47.99,119.81,0,1789082642.4288757
c_a1367c1,1,13,17,6,0.36,0,0.016,0.346,32.14,116.0,0,1789082822.4288757
c_d94c5be,3,48,13,24,0.361,0,0.022,1.111,49.22,115.64,0,1789083002.4288757
c_eae70e0,1,64,18,24,1.134,0,0.028,1.117,27.29,109.52,0,1789083182.4288757
c_56f81c1,1,24,10,24,1.146,0,0.019,1.106,46.25,117.06,1,1789083362.4288757
c_87ede78,3,48,10,6,1.124,1,0.023,0.362,23.32,114.67,0,1789083542.4288757
c_274f6ab,4,14,12,24,0.384,0,0.017,1.098,36.61,103.92,0,1789083722.4288757
c_3cc42a0,1,60,21,24,1.115,0,0.026,1.101,32.76,111.78,1,1789083902.4288757
c_28a7431,2,31,12,24,1.127,1,0.021,1.107,16.92,105.24,1,1789084082.4288757
c_8477c6b,1,57,4,6,1.128,1,0.024,0.339,38.67,117.02,0,1789084262.4288757
c_8f76bfc,6,131,57,24,0.363,0,0.033,1.111,19.54,114.42,0,1789084442.4288757
c_1282164,3,7,2,6,1.144,0,0.015,0.341,35.97,117.16,0,1789084622.4288757
c_1cdf278,2,48,26,6,0.357,0,0.021,0.35,19.25,117.69,0,1789084802.4288757
c_e7794bb,1,71,12,6,0.371,0,0.025,0.355,25.42,110.43,0,1789084982.4288757
c_5a09984,3,70,6,24,0.38,0,0.027,1.099,28.64,118.37,0,1789085162.4288757
c_b8a1ad6,3,69,10,24,1.126,0,0.029,1.108,13.31,119.98,0,1789085342.4288757
c_848c5a9,3,118,41,24,1.137,0,0.035,1.114,39.32,116.28,1,1789085522.4288757
c_05f1cd9,3,26,24,6,1.149,1,0.021,0.344,35.91,117.65,0,1789085702.4288757
c_91de7ad,3,51,5,24,0.365,0,0.024,1.105,17.87,110.77,0,1789085882.4288757
c_2b85f0a,9,128,68,18,1.13,0,0.034,0.86,16.56,105.07,0,1789086062.4288757
c_8f6fa86,1,59,11,24,0.893,0,0.025,1.113,36.16,111.99,0,1789086242.4288757
c_64a384b,3,22,20,6,1.138,0,0.02,0.361,41.08,114.49,0,1789086422.4288757
c_1114ec3,9,213,8,24,0.38,0,0.045,1.105,18.52,102.83,0,1789086602.4288757
c_6c61c60,1,116,29,12,1.15,0,0.031,0.591,15.01,114.86,0,1789086782.4288757
c_746d63d,3,69,1,24,0.622,0,0.025,1.118,20.21,103.19,1,1789086962.4288757
c_ded07ef,2,21,4,24,1.142,1,0.018,1.084,19.24,107.51,1,1789087142.4288757
c_aa531c0,1,124,55,12,1.102,1,0.031,0.601,16.03,106.49,0,1789087322.4288757
c_65bfc70,3,47,29,6,0.632,0,0.022,0.346,13.02,108.77,0,1789087502.4288757
c_94f464d,3,72,26,6,0.368,0,0.027,0.35,27.01,108.15,0,1789087682.4288757
c_b18d65e,4,80,15,24,0.377,0,0.027,1.112,32.26,102.79,1,1789087862.4288757
c_422bacb,1,70,10,6,1.139,1,0.028,0.358,33.31,119.35,0,1789088042.4288757
c_0026e87,5,76,30,24,0.386,0,0.028,1.111,33.81,117.36,0,1789088222.4288757
c_097fc96,1,15,13,24,1.139,0,0.018,1.12,26.82,105.58,0,1789088402.4288757
c_72ce70a,1,14,22,6,1.139,0,0.017,0.335,47.73,111.17,1,1789088582.4288757
c_4bd25a8,3,99,45,12,0.352,1,0.028,0.605,26.66,108.83,0,1789088762.4288757
c_31642fd,1,19,20,6,0.633,0,0.018,0.36,23.61,108.93,0,1789088942.4288757
c_16c3028,5,47,73,24,0.379,0,0.023,1.092,45.16,104.02,0,1789089122.4288757
c_5196b1f,3,39,9,24,1.115,0,0.021,1.109,36.13,118.04,0,1789089302.4288757
c_abd90d0,5,68,16,12,1.131,0,0.024,0.596,32.11,110.07,1,1789089482.4288757
c_68b8cb0,2,69,21,24,0.62,1,0.027,1.103,27.73,111.64,1,1789089662.4288757
c_a0c2c31,5,149,28,24,1.129,1,0.036,1.126,28.41,105.79,0,1789089842.4288757
c_27c8870,1,16,14,24,1.162,0,0.018,1.101,45.97,111.61,0,1789090022.4288757
c_a72f507,2,17,30,24,1.119,0,0.02,1.111,23.13,120.66,0,1789090202.4288757
c_42af7fc,3,17,30,24,1.131,0,0.017,1.096,16.02,115.62,0,1789090382.4288757
c_bee3d88,3,64,21,6,1.113,0,0.023,0.354,35.15,107.21,1,1789090562.4288757
c_fe44fbb,8,112,10,24,0.377,1,0.035,1.108,26.14,112.04,1,1789090742.4288757
c_d423466,3,12,6,6,1.142,1,0.017,0.347,17.98,107.29,0,1789090922.4288757
c_5535d12,3,6,26,6,0.364,0,0.017,0.351,29.37,108.25,0,1789091102.4288757
c_8f7a58c,3,109,51,24,0.368,0,0.03,1.084,24.61,112.02,0,1789091282.4288757
c_f3c90b4,2,69,19,24,1.114,0,0.026,1.105,29.37,108.97,1,1789091462.4288757
c_92f48f4,3,63,22,24,1.131,1,0.025,1.1,34.89,121.35,0,1789091642.4288757
c_998a11f,1,7,12,6,1.125,0,0.017,0.353,27.44,120.0,0,1789091822.4288757
c_a4407f5,3,37,2,24,0.371,0,0.021,1.099,30.54,119.44,0,1789092002.4288757
c_7907ea9,9,158,42,24,1.12,0,0.041,1.11,32.87,117.24,0,1789092182.4288757
c_fe55283,2,12,24,6,1.152,0,0.016,0.341,18.24,121.71,0,1789092362.4288757
c_4f1ed0b,5,204,75,24,0.357,0,0.042,1.103,15.74,113.48,0,1789092542.4288757
c_b134f1f,2,71,4,6,1.145,0,0.024,0.358,22.42,120.75,0,1789092722.4288757
c_d4cba06,3,17,8,6,0.382,0,0.017,0.37,25.28,115.35,0,1789092902.4288757
c_0bdf494,2,118,16,24,0.387,0,0.031,1.1,30.77,112.21,0,1789093082.4288757
c_97204ea,2,5,19,24,1.131,0,0.016,1.095,14.27,117.74,0,1789093262.4288757
c_a4e975b,3,8,18,6,1.112,0,0.016,0.349,19.05,113.95,0,1789093442.4288757
c_4899c70,3,42,4,6,0.365,0,0.024,0.36,47.96,109.83,1,1789093622.4288757
c_d561221,1,63,6,24,0.384,1,0.027,1.102,26.82,112.89,0,1789093802.4288757
c_5a6b04d,3,13,4,24,1.129,0,0.018,1.105,38.72,106.26,0,1789093982.4288757
c_8480c01,6,148,6,12,1.123,0,0.037,0.615,30.75,104.62,0,1789094162.4288757
c_fd3d3c6,3,8,18,24,0.652,0,0.017,1.112,27.69,120.13,0,1789094342.4288757
c_018a863,7,103,62,24,1.128,0,0.029,1.093,34.66,117.11,0,1789094522.4288757
c_bf4b5c8,3,52,21,24,1.122,0,0.023,1.113,19.22,108.66,0,1789094702.4288757
c_e13427d,2,22,0,6,1.136,0,0.018,0.351,16.53,120.92,0,1789094882.4288757
c_c9af8a6,5,28,14,24,0.369,0,0.021,1.113,21.34,121.56,0,1789095062.4288757
c_e3bcfb5,2,19,8,24,1.134,0,0.019,1.099,18.41,120.14,0,1789095242.4288757
c_8fe5b3f,3,26,21,24,1.118,0,0.021,1.112,34.62,109.2,0,1789095422.4288757
c_03eb0ed,2,46,17,6,1.133,0,0.02,0.345,58.04,112.24,0,1789095602.4288757
c_721b359,3,35,29,24,0.365,0,0.02,1.103,50.6,110.64,1,1789095782.4288757
c_6376dac,1,30,30,24,1.124,1,0.019,1.098,55.06,114.25,0,1789095962.4288757
c_eae692e,2,17,10,6,1.117,0,0.017,0.344,30.46,111.56,0,1789096142.4288757
c_a434981,1,9,8,24,0.361,0,0.019,1.113,32.1,106.62,0,1789096322.4288757
c_61fec8f,2,52,9,6,1.132,0,0.025,0.35,29.13,110.81,1,1789096502.4288757
c_00c4efb,4,86,41,24,0.375,1,0.027,1.099,49.46,110.31,1,1789096682.4288757
c_f08e198,2,68,2,24,1.126,1,0.024,1.109,20.04,112.49,1,1789096862.4288757
c_6986fde,2,24,9,24,1.133,1,0.021,1.106,26.69,112.09,1,1789097042.4288757
c_b5f819e,2,29,29,24,1.127,1,0.019,1.104,28.27,109.08,0,1789097222.4288757
c_ddf5e24,3,29,8,24,1.123,0,0.025,1.11,33.21,115.93,0,1789097402.4288757
c_2f1364a,3,104,43,12,1.135,0,0.029,0.606,52.71,104.51,0,1789097582.4288757
c_02d6bb1,1,72,14,24,0.635,0,0.025,1.103,41.25,116.02,0,1789097762.4288757
c_3f83964,4,104,43,12,1.128,0,0.03,0.614,34.2,107.0,1,1789097942.4288757
c_54a2836,5,126,21,12,0.644,1,0.032,0.606,36.41,101.94,1,1789098122.4288757
c_39b5f1d,7,185,65,24,0.638,1,0.045,1.103,39.14,120.33,0,1789098302.4288757
c_28d3aaa,3,42,4,24,1.149,0,0.024,1.103,46.0,112.27,0,1789098482.4288757
c_29b4db8,1,19,1,24,1.128,0,0.018,1.114,22.73,118.41,0,1789098662.4288757
c_7509c89,8,33,9,24,1.132,0,0.022,1.095,89.3,108.64,1,1789098842.4288757
c_3a564e2,1,33,8,24,1.117,1,0.02,1.101,29.82,111.14,0,1789099022.4288757
c_4f09e27,1,43,16,6,1.121,0,0.02,0.349,22.54,113.94,0,1789099202.4288757
c_93e6340,4,107,26,12,0.369,0,0.03,0.594,22.34,117.54,0,1789099382.4288757
c_1ef80b7,3,41,13,24,0.624,0,0.022,1.096,21.74,121.81,0,1789099562.4288757
c_a2e4eee,3,35,21,24,1.118,0,0.021,1.102,34.9,111.67,0,1789099742.4288757
c_d007f3e,3,22,18,24,1.123,0,0.018,1.095,28.23,114.17,1,1789099922.4288757
c_806cf1e,1,135,43,24,1.114,1,0.034,1.107,14.32,113.12,0,1789100102.4288757
c_b0dda51,1,32,4,24,1.14,0,0.02,1.111,26.25,118.6,0,1789100282.4288757
c_420dc9e,3,52,27,24,1.131,0,0.022,1.095,47.88,113.24,0,1789100462.4288757
c_697d93d,5,113,56,24,1.117,0,0.036,1.111,14.0,114.8,0,1789100642.4288757
c_3e99096,1,60,24,6,1.146,0,0.025,0.357,19.06,105.29,1,1789100822.4288757
c_52750a4,2,90,10,12,0.382,1,0.027,0.599,13.51,111.41,0,1789101002.4288757
c_8b2f19a,2,39,5,6,0.626,0,0.021,0.357,27.48,104.77,0,1789101182.4288757
c_93c7ca0,6,72,72,24,0.378,0,0.024,1.099,36.4,118.54,1,1789101362.4288757
c_1fd5e3a,3,86,0,24,1.124,1,0.028,1.104,12.01,108.13,0,1789101542.4288757
c_6661932,2,37,21,24,1.132,0,0.02,1.105,38.9,116.97,0,1789101722.4288757
c_9cf33da,5,134,64,24,1.125,0,0.033,1.089,34.26,118.53,0,1789101902.4288757
c_09aedb7,1,67,8,6,1.122,0,0.024,0.356,15.58,115.71,0,1789102082.4288757
c_f3cf7f5,1,44,19,24,0.38,0,0.02,1.106,20.16,117.9,0,1789102262.4288757
c_bc3e6c8,8,68,52,18,1.126,0,0.023,0.85,19.73,107.99,0,1789102442.4288757
c_86d05f5,3,42,12,24,0.873,0,0.023,1.106,22.86,104.33,0,1789102622.4288757
c_5ba86b0,3,8,13,6,1.129,0,0.016,0.352,18.6,103.16,0,1789102802.4288757
c_65036af,9,192,33,24,0.367,0,0.043,1.101,52.79,114.52,0,1789102982.4288757
c_f45ca89,12,103,66,24,1.143,0,0.029,1.119,28.95,116.07,0,1789103162.4288757
c_24214ab,2,45,29,6,1.148,0,0.023,0.346,40.75,119.98,0,1789103342.4288757
c_6d2ba11,1,75,7,6,0.369,0,0.026,0.351,25.49,104.02,0,1789103522.4288757
c_87dd87d,4,111,16,24,0.377,0,0.031,1.105,25.21,116.92,0,1789103702.4288757
c_2e0537c,3,35,2,24,1.136,0,0.019,1.104,37.79,118.3,0,1789103882.4288757
c_cbd65f4,2,37,22,6,1.123,0,0.021,0.357,20.64,106.09,0,1789104062.4288757
c_0aa4b61,4,12,18,24,0.378,0,0.019,1.107,24.97,107.34,0,1789104242.4288757
c_d8de275,3,89,23,12,1.126,0,0.027,0.6,35.6,110.65,0,1789104422.4288757
c_535b86d,3,11,16,24,0.627,0,0.016,1.102,45.52,109.35,0,1789104602.4288757
c_019e4b3,6,77,60,12,1.118,0,0.028,0.604,38.78,120.78,0,1789104782.4288757
c_5075838,1,13,2,24,0.632,0,0.017,1.094,49.15,106.16,0,1789104962.4288757
c_eca473e,2,60,18,6,1.111,0,0.023,0.35,33.79,112.79,1,1789105142.4288757
c_202dbdc,3,68,25,6,0.373,1,0.026,0.343,13.91,120.96,1,1789105322.4288757
c_a67ba1f,1,57,18,24,0.369,1,0.024,1.092,24.56,113.64,0,1789105502.4288757
c_874175b,3,13,20,6,1.116,0,0.018,0.364,42.75,107.93,1,1789105682.4288757
c_1f08cf2,2,6,28,6,0.382,1,0.019,0.336,39.68,119.08,0,1789105862.4288757
c_9d3947d,2,54,19,24,0.354,0,0.022,1.104,24.02,110.29,0,1789106042.4288757
c_7c279a8,1,24,56,12,1.126,0,0.018,0.603,22.35,117.33,0,1789106222.4288757
c_d25a330,5,210,31,24,0.621,0,0.05,1.094,32.42,109.83,0,1789106402.4288757
c_3001654,3,144,23,24,1.144,0,0.034,1.11,24.67,112.98,0,1789106582.4288757
c_b3c66a6,7,116,0,24,1.145,0,0.031,1.114,28.28,103.59,0,1789106762.4288757
c_5aa5aff,2,60,3,24,1.145,0,0.026,1.111,16.44,110.84,0,1789106942.4288757
c_f911a1e,1,69,16,24,1.137,0,0.025,1.108,34.4,106.79,1,1789107122.4288757
c_763afdb,1,64,14,24,1.133,1,0.025,1.11,27.49,121.99,0,1789107302.4288757
c_9ba2ec2,2,60,24,6,1.134,0,0.025,0.349,15.62,111.78,0,1789107482.4288757
c_4faae91,2,197,44,24,0.373,0,0.042,1.12,26.46,104.52,1,1789107662.4288757
c_71a8feb,6,148,58,24,1.161,1,0.035,1.096,23.75,118.0,1,1789107842.4288757
c_0763a9a,4,83,81,24,1.131,1,0.028,1.096,35.01,104.92,1,1789108022.4288757
c_1f811ba,4,118,29,24,1.124,1,0.032,1.097,20.5,117.26,0,1789108202.4288757
c_359183d,1,48,14,24,1.129,0,0.021,1.089,28.58,102.29,1,1789108382.4288757
c_3651aaa,5,81,12,12,1.109,1,0.025,0.597,26.63,105.65,1,1789108562.4288757
c_922c020,2,37,6,6,0.622,1,0.022,0.342,18.13,122.03,1,1789108742.4288757
c_37d5586,1,43,12,24,0.364,1,0.022,1.103,20.88,121.19,0,1789108922.4288757
c_1a92051,2,38,27,24,1.125,0,0.021,1.102,31.31,107.09,0,1789109102.4288757
c_4546fb9,7,218,49,18,1.124,0,0.046,0.851,31.55,106.97,0,1789109282.4288757
c_f829c59,9,63,11,24,0.897,0,0.024,1.101,12.15,112.04,0,1789109462.4288757
c_84d8d24,2,120,7,24,1.124,0,0.032,1.103,18.14,106.72,0,1789109642.4288757
c_3752d71,3,64,9,6,1.135,0,0.025,0.365,31.6,110.3,0,1789109822.4288757
c_39a8885,4,50,16,24,0.39,0,0.025,1.087,49.82,117.38,0,1789110002.4288757
c_d5faa55,1,68,6,24,1.112,0,0.024,1.098,29.31,103.5,0,1789110182.4288757
c_da34500,1,61,2,24,1.122,0,0.024,1.112,37.03,121.44,0,1789110362.4288757
c_331a0d7,2,63,10,6,1.136,0,0.023,0.366,26.05,109.09,0,1789110542.4288757
c_b852dcd,3,23,13,6,0.389,0,0.018,0.36,22.85,120.74,0,1789110722.4288757
c_3c34fa0,2,47,46,12,0.378,0,0.023,0.605,52.32,118.32,0,1789110902.4288757
c_2bc82b5,2,48,8,6,0.628,0,0.025,0.354,14.82,112.86,0,1789111082.4288757
c_27241f8,1,63,25,6,0.379,0,0.026,0.347,24.85,111.24,0,1789111262.4288757
c_3f5ef11,1,67,8,24,0.373,0,0.024,1.097,19.96,112.93,0,1789111442.4288757
c_6109932,2,92,33,24,1.12,0,0.03,1.097,40.25,121.15,0,1789111622.4288757
c_7ac8e2d,6,20,21,12,1.127,0,0.019,0.588,26.29,117.84,0,1789111802.4288757
c_08d8fc1,5,55,1,12,0.607,0,0.024,0.598,21.95,102.58,0,1789111982.4288757
c_936ee37,2,92,24,12,0.622,0,0.027,0.61,48.28,105.65,0,1789112162.4288757
c_5a61a39,2,31,49,24,0.637,0,0.019,1.083,43.93,118.86,0,1789112342.4288757
c_9f6e40d,1,33,23,24,1.102,0,0.019,1.111,22.31,105.09,1,1789112522.4288757
c_be57142,1,146,11,24,1.13,1,0.038,1.102,60.9,103.57,0,1789112702.4288757
c_85c0365,2,44,1,6,1.14,0,0.021,0.352,24.11,119.05,0,1789112882.4288757
c_29414ea,3,22,3,6,0.373,0,0.017,0.348,28.15,116.92,0,1789113062.4288757
c_82b9860,1,6,16,24,0.365,0,0.015,1.1,31.18,107.81,0,1789113242.4288757
c_f90eda2,1,108,44,24,1.115,0,0.031,1.103,36.29,113.61,0,1789113422.4288757
